age,Age class,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),TIME_PERIOD,Time,OBS_VALUE
Y40-44,From 40 to 44 years,W00-W19,Falls,2017,,2.04
Y40-44,From 40 to 44 years,W00-W19,Falls,2018,,1.89
Y40-44,From 40 to 44 years,W00-W19,Falls,2019,,1.8
Y40-44,From 40 to 44 years,W00-W19,Falls,2020,,2.13
Y40-44,From 40 to 44 years,W00-W19,Falls,2021,,1.77
Y40-44,From 40 to 44 years,W65-W74,Accidental drowning and submersion,2011,,0.97
Y40-44,From 40 to 44 years,W65-W74,Accidental drowning and submersion,2012,,1.27
Y40-44,From 40 to 44 years,W65-W74,Accidental drowning and submersion,2013,,0.91
Y40-44,From 40 to 44 years,W65-W74,Accidental drowning and submersion,2014,,0.96
Y40-44,From 40 to 44 years,W65-W74,Accidental drowning and submersion,2015,,0.35
Y40-44,From 40 to 44 years,W65-W74,Accidental drowning and submersion,2016,,1.25
Y40-44,From 40 to 44 years,W65-W74,Accidental drowning and submersion,2017,,0.74
Y40-44,From 40 to 44 years,W65-W74,Accidental drowning and submersion,2018,,1.14
Y40-44,From 40 to 44 years,W65-W74,Accidental drowning and submersion,2019,,0.55
Y40-44,From 40 to 44 years,W65-W74,Accidental drowning and submersion,2020,,1.22
Y40-44,From 40 to 44 years,W65-W74,Accidental drowning and submersion,2021,,0.99
Y40-44,From 40 to 44 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2011,,4.55
Y40-44,From 40 to 44 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2012,,4.42
Y40-44,From 40 to 44 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2013,,5.38
Y40-44,From 40 to 44 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2014,,4.76
Y40-44,From 40 to 44 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2015,,3.62
Y40-44,From 40 to 44 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2016,,5.28
Y40-44,From 40 to 44 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2017,,3.67
Y40-44,From 40 to 44 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2018,,3.38
Y40-44,From 40 to 44 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2019,,3.89
Y40-44,From 40 to 44 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2020,,6.34
Y40-44,From 40 to 44 years,X40-X49,Accidental poisoning by and exposure to noxious substances,2021,,5.48
Y40-44,From 40 to 44 years,X60-X84_Y870,Intentional self-harm,2011,,13.65
Y40-44,From 40 to 44 years,X60-X84_Y870,Intentional self-harm,2012,,13.83
Y40-44,From 40 to 44 years,X60-X84_Y870,Intentional self-harm,2013,,14.27
Y40-44,From 40 to 44 years,X60-X84_Y870,Intentional self-harm,2014,,14.83
Y40-44,From 40 to 44 years,X60-X84_Y870,Intentional self-harm,2015,,12.86
Y40-44,From 40 to 44 years,X60-X84_Y870,Intentional self-harm,2016,,13.61
Y40-44,From 40 to 44 years,X60-X84_Y870,Intentional self-harm,2017,,12.11
Y40-44,From 40 to 44 years,X60-X84_Y870,Intentional self-harm,2018,,11.56
Y40-44,From 40 to 44 years,X60-X84_Y870,Intentional self-harm,2019,,13.03
Y40-44,From 40 to 44 years,X60-X84_Y870,Intentional self-harm,2020,,13.65
Y40-44,From 40 to 44 years,X60-X84_Y870,Intentional self-harm,2021,,14.61
Y40-44,From 40 to 44 years,X85-Y09_Y871,Assault,2011,,1.28
Y40-44,From 40 to 44 years,X85-Y09_Y871,Assault,2012,,1.17
Y40-44,From 40 to 44 years,X85-Y09_Y871,Assault,2013,,1.27
Y40-44,From 40 to 44 years,X85-Y09_Y871,Assault,2014,,1.32
Y40-44,From 40 to 44 years,X85-Y09_Y871,Assault,2015,,1.26
Y40-44,From 40 to 44 years,X85-Y09_Y871,Assault,2016,,1
Y40-44,From 40 to 44 years,X85-Y09_Y871,Assault,2017,,1.39
Y40-44,From 40 to 44 years,X85-Y09_Y871,Assault,2018,,1.19
Y40-44,From 40 to 44 years,X85-Y09_Y871,Assault,2019,,0.8
Y40-44,From 40 to 44 years,X85-Y09_Y871,Assault,2020,,0.91
Y40-44,From 40 to 44 years,X85-Y09_Y871,Assault,2021,,0.99
Y40-44,From 40 to 44 years,Y10-Y34_Y872,Event of undetermined intent,2011,,0.41
Y40-44,From 40 to 44 years,Y10-Y34_Y872,Event of undetermined intent,2012,,0.41
Y40-44,From 40 to 44 years,Y10-Y34_Y872,Event of undetermined intent,2013,,0.2
Y40-44,From 40 to 44 years,Y10-Y34_Y872,Event of undetermined intent,2014,,0.05
Y40-44,From 40 to 44 years,Y10-Y34_Y872,Event of undetermined intent,2015,,0.35
Y40-44,From 40 to 44 years,Y10-Y34_Y872,Event of undetermined intent,2016,,0.25
Y40-44,From 40 to 44 years,Y10-Y34_Y872,Event of undetermined intent,2017,,0.15
Y40-44,From 40 to 44 years,Y10-Y34_Y872,Event of undetermined intent,2018,,0.3
Y40-44,From 40 to 44 years,Y10-Y34_Y872,Event of undetermined intent,2019,,0.35
Y40-44,From 40 to 44 years,Y10-Y34_Y872,Event of undetermined intent,2020,,0.41
Y40-44,From 40 to 44 years,Y10-Y34_Y872,Event of undetermined intent,2021,,0.16
Y45-49,From 45 to 49 years,A15-A19_B90,Tuberculosis,2011,,0.55
Y45-49,From 45 to 49 years,A15-A19_B90,Tuberculosis,2012,,0.6
Y45-49,From 45 to 49 years,A15-A19_B90,Tuberculosis,2013,,0.43
Y45-49,From 45 to 49 years,A15-A19_B90,Tuberculosis,2014,,0.48
Y45-49,From 45 to 49 years,A15-A19_B90,Tuberculosis,2015,,0.27
Y45-49,From 45 to 49 years,A15-A19_B90,Tuberculosis,2016,,0.11
Y45-49,From 45 to 49 years,A15-A19_B90,Tuberculosis,2017,,0.42
Y45-49,From 45 to 49 years,A15-A19_B90,Tuberculosis,2018,,0.37
Y45-49,From 45 to 49 years,A15-A19_B90,Tuberculosis,2019,,0.31
Y45-49,From 45 to 49 years,A15-A19_B90,Tuberculosis,2020,,0.1
Y45-49,From 45 to 49 years,A15-A19_B90,Tuberculosis,2021,,0.2
Y45-49,From 45 to 49 years,ACC,"Accidents (V01-X59, Y85, Y86)",2011,,23.58
Y45-49,From 45 to 49 years,ACC,"Accidents (V01-X59, Y85, Y86)",2012,,19.4
Y45-49,From 45 to 49 years,ACC,"Accidents (V01-X59, Y85, Y86)",2013,,21.46
Y45-49,From 45 to 49 years,ACC,"Accidents (V01-X59, Y85, Y86)",2014,,22.25
Y45-49,From 45 to 49 years,ACC,"Accidents (V01-X59, Y85, Y86)",2015,,20.99
Y45-49,From 45 to 49 years,ACC,"Accidents (V01-X59, Y85, Y86)",2016,,22.58
Y45-49,From 45 to 49 years,ACC,"Accidents (V01-X59, Y85, Y86)",2017,,21.2
Y45-49,From 45 to 49 years,ACC,"Accidents (V01-X59, Y85, Y86)",2018,,19.65
Y45-49,From 45 to 49 years,ACC,"Accidents (V01-X59, Y85, Y86)",2019,,22.31
Y45-49,From 45 to 49 years,ACC,"Accidents (V01-X59, Y85, Y86)",2020,,21.23
Y45-49,From 45 to 49 years,ACC,"Accidents (V01-X59, Y85, Y86)",2021,,20.65
Y45-49,From 45 to 49 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2011,,6.16
Y45-49,From 45 to 49 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2012,,4.63
Y45-49,From 45 to 49 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2013,,4.1
Y45-49,From 45 to 49 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2014,,4.14
Y45-49,From 45 to 49 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2015,,4.87
Y45-49,From 45 to 49 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2016,,5.58
Y45-49,From 45 to 49 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2017,,4.32
Y45-49,From 45 to 49 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2018,,4.6
Y45-49,From 45 to 49 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2019,,4.69
Y45-49,From 45 to 49 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2020,,5.18
Y45-49,From 45 to 49 years,ACC_OTH,"Other accidents (W20-W64, W75-X39, X50-X59, Y86)",2021,,4.07
Y45-49,From 45 to 49 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2011,,1.78
Y45-49,From 45 to 49 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2012,,2.07
Y45-49,From 45 to 49 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2013,,1.94
Y45-49,From 45 to 49 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2014,,1.72
Y45-49,From 45 to 49 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2015,,1.55
Y45-49,From 45 to 49 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2016,,1.97
Y45-49,From 45 to 49 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2017,,1.95
Y45-49,From 45 to 49 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2018,,1.83
Y45-49,From 45 to 49 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2019,,1.29
Y45-49,From 45 to 49 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2020,,1.22
Y45-49,From 45 to 49 years,A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99),2021,,1.46
Y45-49,From 45 to 49 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2011,,2.55
Y45-49,From 45 to 49 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2012,,2.4
Y45-49,From 45 to 49 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2013,,2.43
Y45-49,From 45 to 49 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2014,,3.39
Y45-49,From 45 to 49 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2015,,2.62
Y45-49,From 45 to 49 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2016,,1.59
Y45-49,From 45 to 49 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2017,,1.48
Y45-49,From 45 to 49 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2018,,1.2
Y45-49,From 45 to 49 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2019,,0.52
Y45-49,From 45 to 49 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2020,,0.96
Y45-49,From 45 to 49 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2021,,0.5
Y45-49,From 45 to 49 years,B180-B182,Chronic viral hepatitis B and C,2011,,2.28
Y45-49,From 45 to 49 years,B180-B182,Chronic viral hepatitis B and C,2012,,2.18
Y45-49,From 45 to 49 years,B180-B182,Chronic viral hepatitis B and C,2013,,2.26
Y45-49,From 45 to 49 years,B180-B182,Chronic viral hepatitis B and C,2014,,3.17
Y45-49,From 45 to 49 years,B180-B182,Chronic viral hepatitis B and C,2015,,2.36
Y45-49,From 45 to 49 years,B180-B182,Chronic viral hepatitis B and C,2016,,1.54
Y45-49,From 45 to 49 years,B180-B182,Chronic viral hepatitis B and C,2017,,1.32
Y45-49,From 45 to 49 years,B180-B182,Chronic viral hepatitis B and C,2018,,0.84
Y45-49,From 45 to 49 years,B180-B182,Chronic viral hepatitis B and C,2019,,0.52
Y45-49,From 45 to 49 years,B180-B182,Chronic viral hepatitis B and C,2020,,0.86
Y45-49,From 45 to 49 years,B180-B182,Chronic viral hepatitis B and C,2021,,0.45
Y45-49,From 45 to 49 years,B20-B24,Human immunodeficiency virus [HIV] disease,2011,,13.04
Y45-49,From 45 to 49 years,B20-B24,Human immunodeficiency virus [HIV] disease,2012,,10.68
Y45-49,From 45 to 49 years,B20-B24,Human immunodeficiency virus [HIV] disease,2013,,9.38
Y45-49,From 45 to 49 years,B20-B24,Human immunodeficiency virus [HIV] disease,2014,,7.09
Y45-49,From 45 to 49 years,B20-B24,Human immunodeficiency virus [HIV] disease,2015,,6.37
Y45-49,From 45 to 49 years,B20-B24,Human immunodeficiency virus [HIV] disease,2016,,3.93
Y45-49,From 45 to 49 years,B20-B24,Human immunodeficiency virus [HIV] disease,2017,,3.27
Y45-49,From 45 to 49 years,B20-B24,Human immunodeficiency virus [HIV] disease,2018,,3.14
Y45-49,From 45 to 49 years,B20-B24,Human immunodeficiency virus [HIV] disease,2019,,2.32
Y45-49,From 45 to 49 years,B20-B24,Human immunodeficiency virus [HIV] disease,2020,,2.84
Y45-49,From 45 to 49 years,B20-B24,Human immunodeficiency virus [HIV] disease,2021,,1
Y45-49,From 45 to 49 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2011,,4.99
Y45-49,From 45 to 49 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2012,,5.01
Y45-49,From 45 to 49 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2013,,4.85
Y45-49,From 45 to 49 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2014,,4.3
Y45-49,From 45 to 49 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2015,,3.64
Y45-49,From 45 to 49 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2016,,3.67
Y45-49,From 45 to 49 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2017,,3.22
Y45-49,From 45 to 49 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2018,,2.25
Y45-49,From 45 to 49 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2019,,2.78
Y45-49,From 45 to 49 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2020,,2.23
Y45-49,From 45 to 49 years,C00-C14,"Malignant neoplasm of lip, oral cavity, pharynx",2021,,1.86
Y45-49,From 45 to 49 years,C15,Malignant neoplasm of oesophagus,2011,,4
Y45-49,From 45 to 49 years,C15,Malignant neoplasm of oesophagus,2012,,3.16
Y45-49,From 45 to 49 years,C15,Malignant neoplasm of oesophagus,2013,,2.43
Y45-49,From 45 to 49 years,C15,Malignant neoplasm of oesophagus,2014,,3.28
Y45-49,From 45 to 49 years,C15,Malignant neoplasm of oesophagus,2015,,2.41
Y45-49,From 45 to 49 years,C15,Malignant neoplasm of oesophagus,2016,,1.75
Y45-49,From 45 to 49 years,C15,Malignant neoplasm of oesophagus,2017,,2.32
Y45-49,From 45 to 49 years,C15,Malignant neoplasm of oesophagus,2018,,2.82
Y45-49,From 45 to 49 years,C15,Malignant neoplasm of oesophagus,2019,,2.16
Y45-49,From 45 to 49 years,C15,Malignant neoplasm of oesophagus,2020,,1.62
Y45-49,From 45 to 49 years,C15,Malignant neoplasm of oesophagus,2021,,1.61
Y45-49,From 45 to 49 years,C16,Malignant neoplasm of stomach,2011,,4.11
Y45-49,From 45 to 49 years,C16,Malignant neoplasm of stomach,2012,,4.52
Y45-49,From 45 to 49 years,C16,Malignant neoplasm of stomach,2013,,5.55
Y45-49,From 45 to 49 years,C16,Malignant neoplasm of stomach,2014,,4.94
Y45-49,From 45 to 49 years,C16,Malignant neoplasm of stomach,2015,,3.8
Y45-49,From 45 to 49 years,C16,Malignant neoplasm of stomach,2016,,4.14
Y45-49,From 45 to 49 years,C16,Malignant neoplasm of stomach,2017,,4.43
Y45-49,From 45 to 49 years,C16,Malignant neoplasm of stomach,2018,,3.61
Y45-49,From 45 to 49 years,C16,Malignant neoplasm of stomach,2019,,3.3
Y45-49,From 45 to 49 years,C16,Malignant neoplasm of stomach,2020,,3.76
Y45-49,From 45 to 49 years,C16,Malignant neoplasm of stomach,2021,,3.57
Y45-49,From 45 to 49 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2011,,8.1
Y45-49,From 45 to 49 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2012,,9.26
Y45-49,From 45 to 49 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2013,,7.39
Y45-49,From 45 to 49 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2014,,8.22
Y45-49,From 45 to 49 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2015,,5.78
Y45-49,From 45 to 49 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2016,,5.95
Y45-49,From 45 to 49 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2017,,6.22
Y45-49,From 45 to 49 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2018,,6.74
Y45-49,From 45 to 49 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2019,,7.58
Y45-49,From 45 to 49 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2020,,5.64
Y45-49,From 45 to 49 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2021,,6.33
Y45-49,From 45 to 49 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2011,,6.44
Y45-49,From 45 to 49 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2012,,5.99
Y45-49,From 45 to 49 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2013,,5.45
Y45-49,From 45 to 49 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2014,,5.59
Y45-49,From 45 to 49 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2015,,4.23
Y45-49,From 45 to 49 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2016,,4.3
Y45-49,From 45 to 49 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2017,,3.69
Y45-49,From 45 to 49 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2018,,3.08
Y45-49,From 45 to 49 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2019,,2.68
Y45-49,From 45 to 49 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2020,,2.18
Y45-49,From 45 to 49 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2021,,2.41
Y45-49,From 45 to 49 years,C25,Malignant neoplasm of pancreas,2011,,5.16
Y45-49,From 45 to 49 years,C25,Malignant neoplasm of pancreas,2012,,5.56
Y45-49,From 45 to 49 years,C25,Malignant neoplasm of pancreas,2013,,4.64
Y45-49,From 45 to 49 years,C25,Malignant neoplasm of pancreas,2014,,5.21
Y45-49,From 45 to 49 years,C25,Malignant neoplasm of pancreas,2015,,4.66
Y45-49,From 45 to 49 years,C25,Malignant neoplasm of pancreas,2016,,4.89
Y45-49,From 45 to 49 years,C25,Malignant neoplasm of pancreas,2017,,4.38
Y45-49,From 45 to 49 years,C25,Malignant neoplasm of pancreas,2018,,4.34
Y45-49,From 45 to 49 years,C25,Malignant neoplasm of pancreas,2019,,4.28
Y45-49,From 45 to 49 years,C25,Malignant neoplasm of pancreas,2020,,5.64
Y45-49,From 45 to 49 years,C25,Malignant neoplasm of pancreas,2021,,5.07
Y45-49,From 45 to 49 years,C32,Malignant neoplasm of larynx,2011,,2.39
Y45-49,From 45 to 49 years,C32,Malignant neoplasm of larynx,2012,,2.72
Y45-49,From 45 to 49 years,C32,Malignant neoplasm of larynx,2013,,1.78
Y45-49,From 45 to 49 years,C32,Malignant neoplasm of larynx,2014,,1.4
Y45-49,From 45 to 49 years,C32,Malignant neoplasm of larynx,2015,,1.55
Y45-49,From 45 to 49 years,C32,Malignant neoplasm of larynx,2016,,1.86
Y45-49,From 45 to 49 years,C32,Malignant neoplasm of larynx,2017,,1.27
Y45-49,From 45 to 49 years,C32,Malignant neoplasm of larynx,2018,,1.25
Y45-49,From 45 to 49 years,C32,Malignant neoplasm of larynx,2019,,0.93
Y45-49,From 45 to 49 years,C32,Malignant neoplasm of larynx,2020,,0.86
Y45-49,From 45 to 49 years,C32,Malignant neoplasm of larynx,2021,,0.7
Y45-49,From 45 to 49 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2011,,24.47
Y45-49,From 45 to 49 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2012,,24.36
Y45-49,From 45 to 49 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2013,,22.27
Y45-49,From 45 to 49 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2014,,20.85
Y45-49,From 45 to 49 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2015,,18.95
Y45-49,From 45 to 49 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2016,,17.11
Y45-49,From 45 to 49 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2017,,16.03
Y45-49,From 45 to 49 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2018,,12.49
Y45-49,From 45 to 49 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2019,,11.29
Y45-49,From 45 to 49 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2020,,12.34
Y45-49,From 45 to 49 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2021,,10.45
Y45-49,From 45 to 49 years,C43,Malignant melanoma of skin,2011,,1.39
Y45-49,From 45 to 49 years,C43,Malignant melanoma of skin,2012,,1.36
Y45-49,From 45 to 49 years,C43,Malignant melanoma of skin,2013,,1.29
Y45-49,From 45 to 49 years,C43,Malignant melanoma of skin,2014,,2.15
Y45-49,From 45 to 49 years,C43,Malignant melanoma of skin,2015,,1.34
Y45-49,From 45 to 49 years,C43,Malignant melanoma of skin,2016,,1.12
Y45-49,From 45 to 49 years,C43,Malignant melanoma of skin,2017,,1.27
Y45-49,From 45 to 49 years,C43,Malignant melanoma of skin,2018,,1.52
Y45-49,From 45 to 49 years,C43,Malignant melanoma of skin,2019,,1.13
Y45-49,From 45 to 49 years,C43,Malignant melanoma of skin,2020,,1.02
Y45-49,From 45 to 49 years,C43,Malignant melanoma of skin,2021,,1.31
Y45-49,From 45 to 49 years,C50,Malignant neoplasm of breast,2011,,0
Y45-49,From 45 to 49 years,C50,Malignant neoplasm of breast,2012,,0
Y45-49,From 45 to 49 years,C50,Malignant neoplasm of breast,2013,,0.32
Y45-49,From 45 to 49 years,C50,Malignant neoplasm of breast,2014,,0.16
Y45-49,From 45 to 49 years,C50,Malignant neoplasm of breast,2015,,0.05
Y45-49,From 45 to 49 years,C50,Malignant neoplasm of breast,2016,,0.21
Y45-49,From 45 to 49 years,C50,Malignant neoplasm of breast,2017,,0.11
Y45-49,From 45 to 49 years,C50,Malignant neoplasm of breast,2018,,0.05
Y45-49,From 45 to 49 years,C50,Malignant neoplasm of breast,2019,,0.15
Y45-49,From 45 to 49 years,C50,Malignant neoplasm of breast,2020,,0
Y45-49,From 45 to 49 years,C50,Malignant neoplasm of breast,2021,,0.15
Y45-49,From 45 to 49 years,C53,Malignant neoplasm of cervix uteri,2011,,0
Y45-49,From 45 to 49 years,C53,Malignant neoplasm of cervix uteri,2012,,0
Y45-49,From 45 to 49 years,C53,Malignant neoplasm of cervix uteri,2013,,0
Y45-49,From 45 to 49 years,C53,Malignant neoplasm of cervix uteri,2014,,0
Y45-49,From 45 to 49 years,C53,Malignant neoplasm of cervix uteri,2015,,0
Y45-49,From 45 to 49 years,C53,Malignant neoplasm of cervix uteri,2016,,0
Y45-49,From 45 to 49 years,C53,Malignant neoplasm of cervix uteri,2017,,0
Y45-49,From 45 to 49 years,C53,Malignant neoplasm of cervix uteri,2018,,0
Y45-49,From 45 to 49 years,C53,Malignant neoplasm of cervix uteri,2019,,0
Y45-49,From 45 to 49 years,C53,Malignant neoplasm of cervix uteri,2020,,0
Y45-49,From 45 to 49 years,C53,Malignant neoplasm of cervix uteri,2021,,0
Y45-49,From 45 to 49 years,C54_C55,Malignant neoplasm of other parts of uterus,2011,,0
Y45-49,From 45 to 49 years,C54_C55,Malignant neoplasm of other parts of uterus,2012,,0
Y45-49,From 45 to 49 years,C54_C55,Malignant neoplasm of other parts of uterus,2013,,0
Y45-49,From 45 to 49 years,C54_C55,Malignant neoplasm of other parts of uterus,2014,,0
Y45-49,From 45 to 49 years,C54_C55,Malignant neoplasm of other parts of uterus,2015,,0
Y45-49,From 45 to 49 years,C54_C55,Malignant neoplasm of other parts of uterus,2016,,0
Y45-49,From 45 to 49 years,C54_C55,Malignant neoplasm of other parts of uterus,2017,,0
Y45-49,From 45 to 49 years,C54_C55,Malignant neoplasm of other parts of uterus,2018,,0
Y45-49,From 45 to 49 years,C54_C55,Malignant neoplasm of other parts of uterus,2019,,0
Y45-49,From 45 to 49 years,C54_C55,Malignant neoplasm of other parts of uterus,2020,,0
Y45-49,From 45 to 49 years,C54_C55,Malignant neoplasm of other parts of uterus,2021,,0
Y45-49,From 45 to 49 years,C56,Malignant neoplasm of ovary,2011,,0
Y45-49,From 45 to 49 years,C56,Malignant neoplasm of ovary,2012,,0
Y45-49,From 45 to 49 years,C56,Malignant neoplasm of ovary,2013,,0
Y45-49,From 45 to 49 years,C56,Malignant neoplasm of ovary,2014,,0
Y45-49,From 45 to 49 years,C56,Malignant neoplasm of ovary,2015,,0
Y45-49,From 45 to 49 years,C56,Malignant neoplasm of ovary,2016,,0
Y45-49,From 45 to 49 years,C56,Malignant neoplasm of ovary,2017,,0
Y45-49,From 45 to 49 years,C56,Malignant neoplasm of ovary,2018,,0
Y45-49,From 45 to 49 years,C56,Malignant neoplasm of ovary,2019,,0
Y45-49,From 45 to 49 years,C56,Malignant neoplasm of ovary,2020,,0
Y45-49,From 45 to 49 years,C56,Malignant neoplasm of ovary,2021,,0
Y45-49,From 45 to 49 years,C61,Malignant neoplasm of prostate,2011,,0.28
Y45-49,From 45 to 49 years,C61,Malignant neoplasm of prostate,2012,,0.49
Y45-49,From 45 to 49 years,C61,Malignant neoplasm of prostate,2013,,0.43
Y45-49,From 45 to 49 years,C61,Malignant neoplasm of prostate,2014,,0.59
Y45-49,From 45 to 49 years,C61,Malignant neoplasm of prostate,2015,,0.54
Y45-49,From 45 to 49 years,C61,Malignant neoplasm of prostate,2016,,0.58
Y45-49,From 45 to 49 years,C61,Malignant neoplasm of prostate,2017,,0.42
Y45-49,From 45 to 49 years,C61,Malignant neoplasm of prostate,2018,,0.73
Y45-49,From 45 to 49 years,C61,Malignant neoplasm of prostate,2019,,0.36
Y45-49,From 45 to 49 years,C61,Malignant neoplasm of prostate,2020,,0.3
Y45-49,From 45 to 49 years,C61,Malignant neoplasm of prostate,2021,,0.4
Y45-49,From 45 to 49 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2011,,2
Y45-49,From 45 to 49 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2012,,2.56
Y45-49,From 45 to 49 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2013,,2.37
Y45-49,From 45 to 49 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2014,,3.17
Y45-49,From 45 to 49 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2015,,2.73
Y45-49,From 45 to 49 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2016,,2.66
Y45-49,From 45 to 49 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2017,,2.11
