age,Age class,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),TIME_PERIOD,Time,OBS_VALUE
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2019,,0.12
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2020,,0.49
Y35-39,From 35 to 39 years,B15-B19_B942,Viral hepatitis and sequelae of viral hepatitis,2021,,0.13
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2011,,0.24
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2012,,0.29
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2013,,0.34
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2014,,0.15
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2015,,0.2
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2016,,0.1
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2017,,0.22
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2018,,0
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2019,,0.12
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2020,,0.25
Y35-39,From 35 to 39 years,B180-B182,Chronic viral hepatitis B and C,2021,,0.06
Y35-39,From 35 to 39 years,B20-B24,Human immunodeficiency virus [HIV] disease,2011,,2.76
Y35-39,From 35 to 39 years,B20-B24,Human immunodeficiency virus [HIV] disease,2012,,2.38
Y35-39,From 35 to 39 years,B20-B24,Human immunodeficiency virus [HIV] disease,2013,,1.83
Y35-39,From 35 to 39 years,B20-B24,Human immunodeficiency virus [HIV] disease,2014,,1.33
Y35-39,From 35 to 39 years,B20-B24,Human immunodeficiency virus [HIV] disease,2015,,1.11
Y35-39,From 35 to 39 years,B20-B24,Human immunodeficiency virus [HIV] disease,2016,,1.36
Y35-39,From 35 to 39 years,B20-B24,Human immunodeficiency virus [HIV] disease,2017,,0.44
Y35-39,From 35 to 39 years,B20-B24,Human immunodeficiency virus [HIV] disease,2018,,0.74
Y35-39,From 35 to 39 years,B20-B24,Human immunodeficiency virus [HIV] disease,2019,,0.47
